year,species_code,English_name,total_obs
1994,AC,Parasitic Jaeger,30.0
1994,AE,Arctic Tern,30.0
1994,B.,Common Blackbird,23865.0
1994,BA,Bar-tailed Godwit,1.0
1994,BC,Eurasian Blackcap,2614.0
1994,BF,Eurasian Bullfinch,908.0
1994,BG,Brant Goose,12.0
1994,BH,Black-headed Gull,10668.0
1994,BT,Eurasian Blue Tit,14868.0
1994,BY,Barnacle Goose,25.0
1994,BZ,Common Buzzard,701.0
1994,C.,Carrion Crow,17519.0
1994,CA,Great Cormorant,247.0
1994,CB,Corn Bunting,685.0
1994,CC,Common Chiffchaff,2961.0
1994,CD,Eurasian Collared Dove,4790.0
1994,CG,Canada Goose,1367.0
1994,CH,Eurasian Chaffinch,22302.0
1994,CI,Crested Tit,23.0
1994,CK,Common Cuckoo,1368.0
1994,CM,Common Gull,1049.0
1994,CN,Common Tern,113.0
1994,CO,Eurasian Coot,736.0
1994,CR,Red Crossbill,339.0
1994,CS,Common Sandpiper,155.0
1994,CT,Coal Tit,1775.0
1994,CU,Eurasian Curlew,2469.0
1994,D.,Dunnock,5977.0
1994,DI,White-throated Dipper,48.0
1994,DV,Rock Dove,35.0
1994,DW,Dartford Warbler,25.0
1994,EG,Egyptian Goose,2.0
1994,ET,Little Egret,4.0
1994,F.,Northern Fulmar,133.0
1994,FP,Feral Pigeon,7343.0
1994,G.,European Green Woodpecker,720.0
1994,GA,Gadwall,46.0
1994,GB,Great Black-backed Gull,453.0
1994,GC,Goldcrest,1500.0
1994,GD,Common Merganser,38.0
1994,GF,Golden Pheasant,1.0
1994,GG,Great Crested Grebe,183.0
1994,GH,Common Grasshopper Warbler,68.0
1994,GJ,Greylag Goose,469.0
1994,GL,Grey Wagtail,188.0
1994,GO,European Goldfinch,3726.0
1994,GP,European Golden Plover,814.0
1994,GR,European Greenfinch,7409.0
1994,GS,Great Spotted Woodpecker,731.0
1994,GT,Great Tit,6920.0
1994,GW,Garden Warbler,580.0
1994,GX,Northern Gannet,24.0
1994,H.,Grey Heron,656.0
1994,HC,Hooded Crow,343.0
1994,HG,European Herring Gull,4216.0
1994,HM,Western House Martin,4233.0
1994,HS,House Sparrow,25987.0
1994,J.,Eurasian Jay,976.0
1994,JD,Western Jackdaw,12161.0
1994,K.,Common Kestrel,671.0
1994,KF,Common Kingfisher,36.0
1994,KI,Black-legged Kittiwake,7.0
1994,L.,Northern Lapwing,3888.0
1994,LB,Lesser Black-backed Gull,2357.0
1994,LG,Little Grebe,89.0
1994,LI,Common Linnet,6482.0
1994,LO,Little Owl,83.0
1994,LR,Lesser Redpoll,399.0
1994,LS,Lesser Spotted Woodpecker,33.0
1994,LT,Long-tailed Tit,1753.0
1994,LU,Little Gull,1.0
1994,LW,Lesser Whitethroat,363.0
1994,M.,Mistle Thrush,2177.0
1994,MA,Mallard,4787.0
1994,MG,Eurasian Magpie,7419.0
1994,MH,Common Moorhen,1002.0
1994,MN,Mandarin Duck,9.0
1994,MP,Meadow Pipit,10008.0
1994,MS,Mute Swan,791.0
1994,MT,Marsh Tit,190.0
1994,N.,Common Nightingale,55.0
1994,ND,Common Loon,1.0
1994,NH,Eurasian Nuthatch,468.0
1994,NS,European Serin,1.0
1994,NX,Great Skua,21.0
1994,OC,Eurasian Oystercatcher,1937.0
1994,P.,Grey Partridge,544.0
1994,PF,European Pied Flycatcher,108.0
1994,PG,Pink-footed Goose,77.0
1994,PH,Common Pheasant,5795.0
1994,PM,Rock Ptarmigan,3.0
1994,PW,White Wagtail,1686.0
1994,PX,Indian Peafowl,5.0
1994,R.,European Robin,12862.0
1994,RB,Common Reed Bunting,905.0
1994,RC,European Rock Pipit,56.0
1994,RG,Willow Ptarmigan,533.0
1994,RI,Rose-ringed Parakeet,31.0
1994,RK,Common Redshank,354.0
1994,RL,Red-legged Partridge,1033.0
1994,RM,Red-breasted Merganser,14.0
1994,RN,Northern Raven,309.0
1994,RO,Rook,24425.0
1994,RP,Common Ringed Plover,113.0
1994,RT,Common Redstart,318.0
1994,RW,Common Reed Warbler,318.0
1994,RY,Ruddy Duck,14.0
1994,RZ,Ring Ouzel,53.0
1994,S.,Eurasian Skylark,13067.0
1994,SA,European Shag,110.0
1994,SC,European Stonechat,115.0
1994,SD,Stock Dove,1802.0
1994,SF,Spotted Flycatcher,276.0
1994,SG,Common Starling,45501.0
1994,SH,Eurasian Sparrowhawk,271.0
1994,SI,Common Swift,7779.0
1994,SJ,Snow Goose,1.0
1994,SK,Eurasian Siskin,477.0
1994,SL,Barn Swallow,9010.0
1994,SM,Sand Martin,607.0
1994,SN,Common Snipe,245.0
1994,ST,Song Thrush,5002.0
1994,SU,Common Shelduck,931.0
1994,SW,Sedge Warbler,679.0
1994,T.,Eurasian Teal,39.0
1994,TC,Eurasian Treecreeper,395.0
1994,TD,European Turtle Dove,397.0
1994,TE,Sandwich Tern,7.0
1994,TO,Tawny Owl,65.0
1994,TP,Tree Pipit,344.0
1994,TS,Eurasian Tree Sparrow,462.0
1994,TT,Ruddy Turnstone,27.0
1994,TU,Tufted Duck,612.0
1994,W.,Northern Wheatear,621.0
1994,WA,Water Rail,3.0
1994,WC,Whinchat,214.0
1994,WH,Common Whitethroat,2790.0
1994,WK,Eurasian Woodcock,7.0
1994,WL,Woodlark,19.0
1994,WO,Wood Warbler,160.0
1994,WP,Common Wood Pigeon,42343.0
1994,WR,Eurasian Wren,18949.0
1994,WT,Willow Tit,134.0
1994,WW,Willow Warbler,6375.0
1994,Y.,Yellowhammer,5586.0
1994,YW,Western Yellow Wagtail,491.0
1995,AC,Parasitic Jaeger,38.0
1995,AE,Arctic Tern,126.0
1995,B.,Common Blackbird,26053.0
1995,BA,Bar-tailed Godwit,23.0
1995,BC,Eurasian Blackcap,2997.0
1995,BF,Eurasian Bullfinch,768.0
1995,BG,Brant Goose,15.0
1995,BH,Black-headed Gull,4846.0
1995,BJ,Black Tern,2.0
1995,BT,Eurasian Blue Tit,17108.0
1995,BY,Barnacle Goose,12.0
1995,BZ,Common Buzzard,783.0
1995,C.,Carrion Crow,20215.0
1995,CA,Great Cormorant,317.0
1995,CB,Corn Bunting,716.0
1995,CC,Common Chiffchaff,3513.0
1995,CD,Eurasian Collared Dove,5657.0
1995,CG,Canada Goose,1933.0
1995,CH,Eurasian Chaffinch,24752.0
1995,CK,Common Cuckoo,1467.0
1995,CM,Common Gull,1229.0
1995,CN,Common Tern,165.0
1995,CO,Eurasian Coot,1093.0
1995,CR,Red Crossbill,69.0
1995,CS,Common Sandpiper,156.0
1995,CT,Coal Tit,1961.0
1995,CU,Eurasian Curlew,2672.0
1995,CY,Scottish Crossbill,8.0
1995,D.,Dunnock,6854.0
1995,DI,White-throated Dipper,58.0
1995,DR,Spotted Redshank,2.0
1995,DV,Rock Dove,29.0
1995,DW,Dartford Warbler,7.0
1995,EG,Egyptian Goose,12.0
1995,ET,Little Egret,3.0
1995,F.,Northern Fulmar,234.0
1995,FP,Feral Pigeon,9297.0
1995,G.,European Green Woodpecker,786.0
1995,GA,Gadwall,86.0
1995,GB,Great Black-backed Gull,206.0
1995,GC,Goldcrest,2232.0
1995,GD,Common Merganser,93.0
1995,GF,Golden Pheasant,6.0
1995,GG,Great Crested Grebe,237.0
1995,GH,Common Grasshopper Warbler,76.0
1995,GJ,Greylag Goose,827.0
1995,GL,Grey Wagtail,258.0
